id,static1,duration,status,m1_cumulative,f1_cumulative,f2_cumulative
90056301,2698206331,1,status3,1,3,1
90057444,1689025679,1,status3,8,9,7
90059109,2529144984,1,status3,13,32,21
90094551,3920016617,1,status3,3,20,1
90408912,1868299261,1,status3,1,3,4
90455172,3720454950,1,status3,1,10,3
90494862,2529144984,1,status3,4,61,13
90527163,69335026,1,status3,1,4,0
94780293,2226018406,1,status3,1,3,1
94780518,1019648059,1,status3,2,0,0
99420180,2149033318,1,status3,1,12,0
99714363,1019648059,1,status3,2,0,6
99726729,2321003029,1,status3,3,6,4
100781070,117704642,1,status3,2,2,1
102227262,2698206331,1,status3,1,0,0
102231879,2767406823,1,status3,19,16,3
102236811,2374793273,1,status2,2,6,0
102908535,2226018406,1,status3,5,27,3
103530435,3371407112,1,status3,4,0,0
103533279,1367730211,1,status3,4,12,0
103550883,2321003029,1,status3,1,3,1
106182573,1481967133,1,status3,1,0,0
106210995,2215824260,1,status1,2,8,1
106971108,1019648059,1,status2,1,3,1
107006820,3130270048,1,status3,6,4,4
107218599,3290796338,1,status1,11,2,1
107518785,2374793273,1,status2,1,7,1
107519712,4160356386,1,status3,52,136,18
107521053,247912416,1,status3,4,41,3
107521530,3290796338,1,status3,1,5,0
107569779,3371407112,1,status2,1,2,0
107569950,2543626026,1,status2,1,0,2
107978037,2436609159,1,status3,22,52,19
108622050,2149033318,1,status3,5,8,0
109906188,2321003029,1,status2,1,5,1
110820066,195275186,1,status3,2,0,0
110913162,2374793273,1,status2,1,5,1
111046767,3290796338,1,status2,2,5,0
111270471,2543626026,1,status2,5,12,1
90454686,946688712,1,status3,4,19,9
108631401,3587561418,1,status3,22,40,6
110746626,3473266654,1,status1,22,89,4
100662234,1019648059,2,status3,2,12,5
110837571,1019648059,2,status3,18,52,12
100575384,946688712,3,status3,42,147,35
106183374,2374793273,3,status3,4,1,2
106794006,1868299261,3,status3,7,55,5
110975793,3700620253,3,status2,50,130,19
94750521,1019648059,4,status3,9,48,9
100676058,1367730211,4,status1,45,112,6
102558012,2321003029,4,status3,10,23,4
105799920,1019648059,4,status3,3,4,2
90006009,2226018406,5,status3,20,81,45
104203005,1868299261,5,status3,7,31,5
90450159,247912416,6,status3,60,891,92
110636205,3130270048,6,status3,10,91,8
111152706,2432496835,6,status2,53,240,17
110779854,2660123604,7,status3,21,74,14
111265863,1868299261,7,status2,2,1,1
103516044,2402062830,8,status3,7,21,2
107224719,3290796338,8,status3,8,52,5
111284268,1868299261,8,status2,75,204,39
110866047,1880221864,9,status2,46,82,25
106972035,3130270048,10,status3,7,11,1
107212677,3130270048,10,status3,28,69,16
108493926,2920270549,11,status3,7,9,1
106330668,4256591261,13,status3,5,33,5
100714956,2374793273,14,status3,45,150,21
103005582,563648276,14,status3,8,44,6
90033261,163752073,17,status2,18,106,21
100820823,2226018406,17,status3,51,283,44
107239668,2920270549,17,status1,46,126,20
111020469,3290796338,17,status2,42,71,18
111113835,1868299261,17,status1,318,456,38
90364974,2378809453,18,status3,55,399,109
100391019,1019648059,19,status3,22,83,15
110871627,2646245013,19,status2,2,43,5
106576377,2079826195,25,status1,9,27,6
110913288,563648276,25,status1,39,106,11
105780444,174092870,27,status3,19,51,3
103673139,3810082316,28,status3,27,51,15
111077943,3630812526,28,status2,69,335,23
107520540,2226018406,29,status3,64,214,50
100240386,1868299261,32,status3,2,46,7
110872284,1868299261,32,status1,52,49,9
110635791,1630539978,33,status2,68,180,29
99712725,946688712,38,status3,29,145,35
100512177,922232170,38,status3,91,350,73
108629970,1238463349,38,status3,16,43,10
110344209,3371407112,38,status2,11,125,11
110855661,1983691299,38,status2,11,64,4
110976711,3371407112,38,status2,103,342,50
108922668,902907408,39,status3,43,168,25
111198714,1226109305,40,status1,53,292,29
100778253,3130270048,41,status1,16,66,12
107358252,278434049,41,status3,13,57,12
94716114,1630539978,42,status3,120,684,54
107245383,1226109305,43,status3,4,11,1
99698982,1019648059,44,status3,29,100,36
107565792,1868299261,44,status1,123,388,82
100426785,2242959180,46,status2,63,569,54
90466143,2543626026,47,status3,10,89,34
100870098,2321003029,47,status3,27,163,11
110342724,2920270549,47,status2,118,298,54
106788327,2215824260,48,status3,119,167,34
106786590,1019648059,49,status3,10,34,6
90125952,563648276,50,status3,18,199,73
110229387,3006936548,50,status2,9,57,4
111125211,2698206331,50,status1,75,354,24
90459501,3026826731,54,status1,144,355,37
100860729,1226109305,54,status1,65,334,28
110347251,2529144984,54,status1,15,189,3
106702332,3006936548,55,status1,9,48,8
111283800,2529144984,55,status1,17,63,5
108204162,2226018406,56,status3,51,130,41
109935564,2374793273,56,status1,8,33,4
111203808,3473266654,56,status1,346,1056,29
99532293,1868299261,57,status3,16,118,21
111057045,1895541127,57,status1,67,325,23
106497060,247912416,58,status1,1448,6604,415
107222604,1119428325,58,status1,17,43,10
107569023,2436609159,58,status1,4,24,1
110743278,2149033318,58,status1,129,116,17
103732305,2415587342,60,status3,52,105,73
110881410,1983691299,60,status1,74,360,34
110987907,2920270549,60,status1,26,102,12
111113565,3290796338,60,status1,77,66,20
111204456,1868299261,60,status1,56,75,18
100673556,117704642,61,status1,17,54,2
111150933,1983691299,61,status1,111,647,21
111151176,2169130744,61,status1,222,999,102
90043323,946688712,63,status3,58,1337,384
100690557,946688712,63,status3,50,81,29
110854770,3810082316,63,status1,62,113,27
110535036,2920270549,64,status1,111,201,11
103071615,922232170,65,status3,24,141,21
108485736,3130270048,65,status2,23,146,25
111151788,1423272800,66,status1,54,311,52
100013496,2374793273,67,status3,5,10,4
100240647,2660123604,67,status1,30,73,1
100676274,1019648059,67,status3,17,26,13
106462995,1154315722,67,status1,481,1040,80
109114737,3473266654,68,status1,16,165,3
111193035,3371407112,68,status1,315,1496,118
111200703,3473266654,68,status1,55,292,24
111094629,3410875896,69,status1,76,363,17
94742799,247912416,70,status1,474,2688,312
110066442,1019648059,70,status2,35,99,17
90049038,2226018406,71,status3,66,445,93
111153885,1983691299,71,status1,112,648,36
110865948,1983691299,72,status1,12,108,8
111095205,3130270048,72,status1,345,979,79
110987916,679110528,73,status1,14,65,8
111114303,2079826195,74,status1,485,2035,102
100251501,1019648059,75,status3,95,388,31
102533631,3290796338,77,status3,26,62,20
110790978,3371407112,77,status1,92,402,37
110920119,1019648059,77,status1,337,622,68
110855562,117704642,79,status1,27,162,14
110822145,2321003029,80,status1,100,402,119
110974974,1019648059,82,status1,16,21,8
103536348,2529144984,83,status3,572,1556,141
107513925,1868299261,85,status1,3,7,3
110882337,1868299261,87,status1,298,959,167
104816688,3290796338,89,status3,107,465,107
110977773,593706297,90,status1,298,737,141
110855058,2321003029,91,status1,73,251,46
100870125,3290796338,93,status3,17,137,51
110549472,3473266654,93,status1,167,680,75
110620275,2698206331,93,status1,5,13,3
110759379,2226018406,95,status1,51,160,25
110792364,3371407112,95,status1,131,217,50
90362949,2608719642,96,status3,21,199,48
102691518,3371407112,96,status3,67,226,41
109188276,1592171568,96,status1,89,116,11
100855356,1882621314,97,status1,228,478,99
109469508,2436609159,99,status2,159,424,47
110224968,922232170,100,status1,110,398,58
106971594,3371407112,102,status2,5,42,0
107218140,1689025679,102,status1,19,117,10
110533092,495645674,102,status1,40,94,15
110819256,1983691299,102,status1,492,736,131
94771644,2920270549,105,status1,63,183,15
103082919,1019648059,105,status3,24,34,13
106970667,2436609159,105,status1,54,183,19
108507984,3371407112,106,status2,38,196,27
110066640,117704642,106,status1,39,182,26
110620221,3290796338,106,status1,125,324,78
103013232,2543626026,108,status3,19,78,15
106335546,1226109305,108,status2,2,12,0
108510441,3290796338,108,status1,25,128,11
110214699,1868299261,108,status1,76,264,60
110534766,2374793273,109,status1,490,1234,296
110636079,1019648059,110,status1,256,716,75
106620540,2215824260,111,status2,5,7,0
100699143,1868299261,112,status2,7,24,8
110516685,3290796338,112,status1,64,183,41
107510235,2920270549,113,status1,123,277,49
106305477,2321003029,114,status2,37,128,33
110529456,1983691299,114,status1,227,975,264
106854531,2215824260,115,status2,76,271,25
106448496,247912416,116,status1,101,552,31
110344047,2215824260,116,status1,202,310,41
110623470,2402062830,116,status1,141,537,28
102231780,563648276,117,status1,49,63,20
107218068,2920270549,117,status2,82,184,49
110067603,2226018406,117,status1,34,92,20
106575855,67926825,118,status2,37,132,33
110270733,3920016617,118,status1,335,933,174
110514606,1226109305,118,status1,545,1963,157
110623272,4160356386,118,status1,320,997,104
109190787,1226109305,119,status1,20,25,4
109272462,4180179179,120,status1,439,1329,137
110068629,2529144984,120,status1,29,98,20
106448226,2920270549,121,status2,58,250,49
110225157,2149033318,122,status1,96,207,51
106748565,3810082316,124,status1,300,742,150
107950866,3700620253,127,status1,174,439,85
100732416,1983691299,128,status3,55,400,39
109001373,2415587342,128,status1,77,288,74
109114836,3700620253,129,status1,396,1209,180
109259547,679110528,130,status1,251,527,92
108923766,946688712,131,status1,124,285,59
110227452,247912416,131,status1,141,984,58
106176786,117704642,132,status2,38,196,28
108507624,1983691299,132,status1,9,132,5
108626199,2149033318,133,status1,96,151,46
107221641,174092870,135,status2,13,17,9
108478014,1140195038,135,status1,15,66,5
108620043,247912416,135,status1,37,117,24
103031421,69335026,136,status3,422,2597,212
109903416,117704642,137,status1,16,114,8
100777839,2169130744,138,status1,184,423,39
107211381,1019648059,138,status1,8,13,6
108928599,247912416,138,status1,386,1208,96
90106314,247912416,139,status3,19,184,43
100786560,3700620253,139,status3,9,40,4
108628161,247912416,139,status1,27,175,11
109179339,3473266654,140,status1,399,930,76
103535331,4197554869,141,status2,195,610,154
108616983,1154315722,141,status1,146,420,89
108631032,2529144984,142,status1,138,503,38
90455181,117704642,143,status3,12,89,28
109190841,2646245013,143,status1,119,550,60
100728366,922232170,144,status1,453,956,194
109031118,2920270549,144,status1,75,149,47
109351869,3371407112,144,status1,16,83,9
105779778,3130270048,145,status2,24,87,15
109081248,3290796338,146,status1,437,1129,135
100861638,69335026,147,status1,780,2043,160
107559636,2920270549,147,status1,13,27,2
108627153,1019648059,148,status1,33,150,13
108927825,3700620253,148,status1,1083,3649,502
108930111,2920270549,148,status1,113,249,45
108690234,3473266654,149,status1,318,1373,107
106575828,4257874126,150,status2,15,116,6
100669947,117704642,151,status3,25,56,9
100818051,3371407112,151,status3,179,718,126
103290387,2646245013,151,status1,6,88,3
108205971,3371407112,151,status1,349,1179,99
108626514,1592171568,151,status1,281,1212,184
108924828,1983691299,151,status1,857,2844,350
106211931,2215824260,152,status2,110,300,33
99808674,1868299261,153,status3,36,254,89
107249766,2543626026,153,status1,37,37,15
94790922,3290796338,154,status3,497,1971,378
103386471,4230642428,154,status2,182,518,54
107224521,4025180601,154,status1,90,212,36
107562129,2698206331,154,status1,46,175,16
107974050,486591755,154,status1,137,448,47
90452274,1868299261,156,status3,12,38,36
105412578,1600126327,156,status2,102,252,51
106495773,1592171568,156,status1,345,612,100
107225511,2920270549,156,status1,171,414,40
107969595,3473266654,156,status1,1032,3153,419
106452321,2920270549,157,status1,126,357,67
106998225,3290796338,157,status1,45,262,31
107224566,4230642428,157,status1,262,1344,106
103289244,2149033318,158,status1,28,43,5
106934163,4256591261,158,status1,41,68,7
106970055,3290796338,158,status1,1102,1478,191
107557557,2226018406,158,status1,842,1655,402
100663638,679110528,159,status1,67,218,39
100834449,2920270549,159,status3,25,83,13
100864077,2321003029,159,status3,11,55,12
106971603,2226018406,159,status1,378,987,174
107212875,1019648059,159,status1,105,260,45
107223315,3343149327,159,status1,103,230,27
100718043,2226018406,160,status1,50,112,42
106973673,2374793273,160,status1,362,1069,320
107463543,278434049,160,status1,2114,9169,1527
103531254,210808701,162,status2,47,106,32
107220966,374474351,162,status1,1663,1765,175
103385211,3473266654,163,status2,170,765,149
106973574,968016663,163,status1,83,487,33
107006091,247912416,163,status1,179,756,98
100714569,1868299261,164,status3,1820,3815,1016
102257673,1019648059,164,status3,345,2224,703
107006595,2065677788,164,status1,17,48,4
94860582,210808701,165,status3,54,155,70
103387947,247912416,166,status2,590,3194,756
103730559,922232170,166,status1,101,677,81
90026232,563648276,167,status1,2175,7728,1342
107148651,374474351,167,status1,496,850,72
90033828,2549744922,168,status3,20,265,32
90513240,2374793273,168,status1,322,605,135
106657737,1868299261,168,status1,582,3648,412
107008296,2920270549,168,status1,119,422,25
106747683,1079871722,169,status1,77,155,26
100383000,3290796338,171,status3,22,89,20
106493757,1868299261,171,status1,52,100,53
106855917,3290796338,171,status1,666,2175,398
103514532,1226109305,172,status2,114,587,73
94749342,247912416,173,status3,36,428,77
94722441,2920270549,174,status3,134,823,85
106335474,1019648059,175,status1,33,51,19
106751652,117704642,175,status1,52,224,17
104163405,946688712,178,status2,206,970,368
103011828,2321003029,179,status2,35,115,20
105141444,2226018406,179,status1,261,741,134
105978228,2529144984,180,status1,79,362,67
106579743,1226109305,180,status1,263,972,129
106457946,495645674,181,status1,384,997,183
99436929,1868299261,183,status3,13,103,12
100697442,195275186,183,status1,45,124,31
100732281,117704642,183,status2,11,128,8
106178667,2226018406,183,status1,146,455,101
106330839,1600126327,183,status1,455,1561,129
94869654,4160356386,184,status1,440,745,109
105862992,3920016617,184,status1,989,3201,865
106134486,1079871722,185,status1,162,319,23
106448019,1226109305,186,status1,5810,11141,2009
102238323,1367730211,187,status3,582,1368,394
103188327,2862403165,187,status2,216,1521,340
104166258,1367730211,188,status1,67,129,23
106142793,2920270549,188,status1,392,496,105
90054456,1868299261,189,status3,6,57,18
105978408,1868299261,189,status1,1166,3129,519
106183680,1868299261,191,status1,26,157,18
103011297,1019648059,193,status2,36,102,23
104814042,3810082316,194,status1,58,215,36
99936600,3130270048,195,status3,264,776,206
103276140,3913594247,195,status2,111,286,58
103045353,1019648059,196,status2,26,133,17
106657881,1019648059,196,status1,180,645,83
100736871,3371407112,198,status2,81,273,33
105792378,2920270549,198,status1,191,436,71
103012314,2226018406,199,status1,113,287,59
100719609,3290796338,200,status1,512,2166,432
105799623,2931150728,200,status1,2243,5055,1311
104215470,2226018406,201,status1,419,1122,236
105409932,1868299261,201,status1,34,64,18
90108807,117704642,205,status3,4,18,9
103537527,2920270549,206,status1,39,179,45
105140436,3473266654,207,status1,890,5680,593
104419878,3913594247,208,status1,330,668,53
100759011,495645674,209,status1,43,211,30
104389062,4256591261,209,status1,602,2322,401
103027929,1019648059,210,status1,88,259,41
100821957,3130270048,211,status1,12,24,16
103550856,1367730211,211,status1,55,134,17
103680816,1868299261,211,status1,713,2619,443
100740309,3810082316,212,status2,14,29,9
100689909,3130270048,213,status1,79,527,78
103492464,2920270549,213,status1,103,385,62
104169507,593706297,214,status1,439,1787,408
94749450,117704642,215,status3,63,407,89
100659840,3913594247,215,status1,945,2243,610
100674168,174092870,216,status1,444,562,74
99676320,2149033318,217,status1,827,1925,491
102322086,2226018406,217,status2,157,674,109
102362523,3290796338,217,status2,113,913,108
100794102,247912416,218,status1,173,1094,100
100820868,117704642,218,status1,459,2028,243
103515558,2215824260,218,status1,92,254,48
100672665,679110528,220,status1,45,141,17
100736196,2646245013,220,status1,195,832,85
103494219,3290796338,220,status1,330,1106,173
103532217,2698206331,220,status1,669,3789,208
103549011,593706297,220,status1,717,2314,406
90662559,1868299261,222,status1,522,1819,445
103514181,3130270048,222,status1,98,1015,75
100774482,2226018406,223,status2,51,100,34
103531866,1019648059,223,status1,454,1105,232
103532208,3725049670,223,status1,1501,3778,253
103384356,1983691299,228,status1,220,832,123
100693293,247912416,229,status1,72,511,27
100866750,1689025679,230,status2,125,791,101
103043337,2226018406,230,status1,132,394,67
90503403,247912416,231,status3,363,2974,267
100630293,3700620253,231,status1,158,968,162
102663681,3920016617,231,status1,115,143,27
103031322,278434049,231,status1,49,366,41
103277490,2529144984,231,status1,190,501,45
103045056,2529144984,232,status1,78,279,30
103136055,1019648059,234,status1,190,491,91
100518387,1019648059,235,status1,131,386,44
90490587,3300989297,236,status3,10,108,24
90653595,922232170,236,status3,10,84,20
100340970,593706297,236,status2,17,120,15
100853286,922232170,236,status1,615,3423,672
103010712,69335026,236,status1,132,520,90
103010181,174092870,237,status1,129,365,53
94753230,2920270549,238,status3,126,600,174
100651038,2543626026,238,status2,126,290,71
103082559,2149033318,238,status1,1363,3743,930
103082577,1019648059,238,status1,912,1499,259
100669317,2402062830,239,status1,83,345,40
100682403,1019648059,240,status2,318,294,45
103075215,3700620253,240,status1,94,576,78
90108051,593706297,242,status1,6547,13339,3035
94798689,2436609159,242,status3,152,533,123
100657122,1019648059,242,status1,62,181,39
102535089,374474351,243,status1,59,261,25
103022601,174092870,243,status1,367,381,32
100829247,3700620253,244,status1,42,291,19
100767363,278434049,245,status1,85,402,76
102846444,1868299261,245,status1,109,313,85
100355298,3290796338,246,status2,116,682,169
100130874,195275186,247,status1,3310,8818,2062
100675185,3300989297,247,status1,123,485,75
100788837,4160356386,248,status1,3417,8149,1658
99478806,1868299261,249,status3,88,226,72
