,,, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21,Q22,Q23,, Q25, Q26, Q27, Q28,, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37, Q38, Q39,,,, Q43, Q44, Q45, Q46, Q47
ID,Average response score:,,2.41,2.13,2.19,2.01,1.84,1.9,1.77,1.77,1.94,2.06,1.67,1.47,2.24,2.1,2.13,2,2.06,2.07,2,1.43,1.06,1.81,1.47,,1.75,1.85,1.68,1.85,,1.37,1.55,1.87,1.79,1.78,1.82,2.25,2.22,2.05,1.87,,,,1.7,1.54,1.64,2.07,1.93
90000069,,,Other: ,Other: ,Other: ,3,3,Other: ,0,2,2,3,3,0,Other: ,0,3,3,3,3,3,2,3,3,1,,2,3,2,2,,0,1,3,3,3,3,3,3,3,3,,,,3,3,3,3,3
90000060,,,3,2,3,2,2,Don't know what it is,1,1,Don't know what it is,Don't know what it is,1,0,2,2,1,2,1,1,2,1,2,3,Don't know what it is,,2,2,2,Don't know what it is,,1,2,1,2,1,1,2,2,2,2,,,,1,1,1,1,1
90000051,,,3,3,3,1,2,3,3,2,1,2,3,2,3,3,3,3,3,3,3,1,2,1,1,,3,1,3,3,,1,1,2,2,1,0,3,3,1,3,,,,3,1,3,2,3
90000042,,,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,,,1,1,1,2,1
90000033,,,2,2,2,2,1,Don't know what it is,0,0,Don't know what it is,Don't know what it is,Don't know what it is,3,2,2,2,1,1,1,2,1,2,3,Don't know what it is,,2,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,1,2,2,3
90000024,,,3,2,3,2,2,2,2,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,3,3,3,1,3,2,3,,2,2,1,1,,2,2,1,1,3,2,2,3,2,1,,,,2,2,2,3,1
90000015,,,2,2,2,2,2,1,2,1,2,2,1,0,2,2,2,2,2,2,2,2,2,1,1,,1,Don't know what it is,Don't know what it is,Don't know what it is,,1,1,2,2,2,2,2,2,2,2,,,,1,1,1,3,1
90000006,,,2,2,2,3,1,2,3,2,2,3,3,3,3,3,3,3,2,2,3,2,Don't know,2,1,,2,2,2,2,,1,1,1,1,2,2,2,2,2,2,,,,2,2,2,2,2
89999997,,,3,3,3,3,3,1,1,2,2,2,Other: ,Other: ,3,3,3,2,1,1,3,1,2,3,3,,Other: ,0,2,3,,0,0,2,Don't know what it is,2,3,3,3,3,3,,,,3,Other: ,2,1,2
89999988,,,2,2,2,1,1,1,2,2,2,2,2,2,3,3,1,2,2,2,2,1,2,2,2,,2,2,2,2,,1,2,1,2,2,2,2,2,2,2,,,,2,1,2,1,1
89999979,,,2,2,2,3,2,3,2,2,2,2,3,1,2,3,2,2,3,3,2,1,3,2,1,,2,2,1,2,,2,3,2,3,2,2,2,3,3,3,,,,2,2,2,2,2
89999970,,,2,2,3,1,1,2,2,1,1,Don't know what it is,2,1,3,3,2,2,2,2,3,1,2,2,Don't know what it is,,2,2,2,Don't know what it is,,1,1,2,2,Don't know what it is,Don't know what it is,3,2,2,2,,,,1,2,2,3,2
89999961,,,2,2,2,3,2,2,3,2,3,2,1,1,2,2,2,2,3,3,2,1,2,2,1,,2,2,1,2,,1,1,2,2,2,1,2,3,3,2,,,,1,1,1,2,2
89999952,,,2,2,2,2,1,Don't know what it is,Don't know what it is,1,Don't know what it is,2,1,2,2,2,2,2,2,2,2,2,2,2,Don't know what it is,,2,1,2,Don't know what it is,,1,1,2,1,1,1,2,2,1,2,,,,2,2,2,1,1
89999943,,,2,2,1,2,Don't know what it is,2,2,2,2,2,2,0,2,1,2,1,2,2,1,1,2,1,Don't know what it is,,1,1,1,1,,2,2,2,2,2,2,1,2,2,2,,,,Other: ,Other: ,0,3,1
89999934,,,2,2,2,2,1,2,2,3,2,2,3,3,3,3,3,2,2,2,2,1,2,2,Don't know what it is,,2,2,2,2,,1,1,2,2,3,3,3,3,2,2,,,,2,2,2,2,2
89999925,,,3,3,2,3,3,3,3,2,3,3,2,3,1,3,2,2,2,3,3,2,2,1,1,,3,3,3,3,,2,2,2,3,2,2,3,3,3,3,,,,3,3,3,2,3
89999916,,,2,1,2,Don't know what it is,Don't know what it is,1,0,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,Don't know what it is,1,2,2,2,2,Don't know,0,0,,1,2,1,Don't know what it is,,2,2,1,3,,2,2,2,2,2,,,,2,2,2,1,2
